Date,Adj Close,Close,High,Low,Open,Volume
6/7/2017,190.6829681,208.239502,211.3875275,203.9168396,207.6756744,4141
6/8/2017,193.2644043,211.0586243,214.2066498,207.7696533,214.2066498,2548
6/9/2017,191.500412,209.1322174,218.9051971,207.6756744,218.9051971,3278
6/12/2017,189.7794342,207.2528076,221.7713165,207.0648651,221.7713165,836
6/13/2017,196.6632996,214.7704773,225.9060364,210.4947968,210.4947968,5005
6/14/2017,197.0075073,215.1463623,218.4823303,212.5151825,214.6295166,981
6/15/2017,202.299469,220.9255676,223.3688202,214.2536316,217.0257721,4296
6/16/2017,201.7401428,220.3147583,223.9326324,218.0124664,223.9326324,1528
6/19/2017,201.7401428,220.3147583,226.2819061,216.1800385,225.3891907,3500
6/20/2017,201.9983063,220.5966797,224.543457,216.1330566,224.543457,1849
6/21/2017,198.1691589,216.4149628,223.039917,215.1933441,223.039917,3783
6/22/2017,198.8145142,217.119751,223.6507263,214.7234955,223.6507263,1389
6/23/2017,191.80159,209.4611206,223.6507263,207.2997894,223.6507263,3799
6/27/2017,189.177124,206.5950165,211.3875275,204.8565521,209.5550995,1545
6/28/2017,186.8968353,204.1047821,209.5081024,199.3592529,199.4062347,1118
6/29/2017,189.6503754,207.1118469,211.3875275,204.9974976,211.3875275,1595
6/30/2017,188.2305756,205.5613251,206.7359619,204.8565521,206.6889801,2311
7/3/2017,194.856308,212.7970886,216.1330566,205.8432465,205.8432465,5110
7/4/2017,191.1992645,208.8033295,218.952179,207.7226563,212.32724,2598
7/5/2017,192.8772125,210.6357574,214.5825348,202.9771271,214.5825348,4162
7/6/2017,200.664566,219.1401215,219.8918915,210.3068542,213.1259918,2167
7/7/2017,202.9018097,221.583374,240.5654907,219.328064,221.7243195,18569
7/10/2017,201.0948181,219.6099854,225.5301514,218.0124664,221.6773376,419
7/11/2017,196.7063293,214.8174591,220.8785858,211.57547,220.8785858,7869
7/12/2017,196.7493591,214.8644562,220.7846222,213.5018768,219.1871033,2420
7/13/2017,195.7598267,213.783783,221.4893951,208.7093506,215.2403259,3426
7/14/2017,194.9853668,212.9380493,218.4823303,211.0586243,211.0586243,2827
7/17/2017,198.6854553,216.9787903,220.6436615,212.6091461,216.8848267,3290
7/18/2017,197.6528778,215.8511505,217.0727692,210.6827393,210.6827393,1749
7/19/2017,199.6750031,218.0594635,220.5966797,216.2270203,220.3617401,940
7/20/2017,198.212204,216.4619598,218.1534271,215.1933441,216.2270203,898
7/21/2017,196.4481964,214.535553,217.0257721,212.4681854,214.7234955,1838
7/24/2017,196.6203003,214.7234955,215.8981323,212.4681854,215.1933441,868
7/25/2017,194.3830261,212.2802429,215.1933441,209.5550995,215.1463623,2727
7/26/2017,196.2330933,214.3006287,216.0390778,210.9646606,215.1463623,1121
7/27/2017,195.3295746,213.3139343,216.1330566,210.4947968,215.9451141,3309
7/28/2017,191.4573975,209.0852356,214.2536316,206.407074,214.2536316,2978
7/31/2017,193.2644043,211.0586243,214.2066498,207.4407501,212.32724,2247
8/1/2017,192.7481079,210.4947968,213.1729736,208.1455231,208.1455231,5162
8/2/2017,195.7598267,213.783783,222.7110138,205.7962494,222.7110138,3536
8/3/2017,195.2005005,213.1729736,214.2066498,209.3201599,212.3742218,2276
8/4/2017,194.1679077,212.0453186,214.2066498,210.0249481,211.5284882,1013
8/7/2017,197.0505371,215.1933441,218.3883514,214.2536316,215.0993805,2013
8/8/2017,193.1353302,210.9176636,214.4415741,207.6756744,210.4947968,1816
8/9/2017,186.9828796,204.1987457,209.367157,203.446991,209.367157,4625
8/10/2017,173.7314453,189.7272339,202.9771271,183.7600861,194.9896088,8064
8/11/2017,172.1395569,187.9887695,190.76091,179.4844055,185.592514,4441
8/14/2017,177.7326813,194.0968781,200.1110229,187.049057,195.2715149,2400
8/16/2017,177.9047852,194.2848206,199.0303497,193.5800476,195.5534363,1891
8/17/2017,180.4862213,197.1039429,197.2918854,192.9222412,196.0702667,468
8/18/2017,176.398941,192.6403351,196.7750549,186.2973022,193.5800476,2516
8/21/2017,178.4210968,194.8486481,199.1713104,190.8079071,190.8079071,2379
8/22/2017,177.5605927,193.9089355,199.6881561,191.2307739,199.6881561,2519
8/23/2017,178.1629486,194.5667419,196.3521881,190.1031189,190.1031189,1175
8/24/2017,185.1758728,202.2253571,205.7492676,193.5800476,195.4594574,2805
8/28/2017,203.3750763,222.1002045,224.3555145,200.2049866,207.6756744,7162
8/29/2017,206.730957,225.7650757,229.2419891,213.3609161,221.7713165,7788
8/30/2017,248.0771637,270.9180908,270.9180908,226,226,275717
8/31/2017,242.6372223,264.058197,278.9056091,259.3596802,275.2877197,155888
9/1/2017,228.3035126,248.4590454,267.8170471,243.5725555,264.058197,34392
9/4/2017,220.2731934,239.7197571,255.6008301,236.1488495,254.6141357,26908
9/5/2017,218.6757507,237.9812927,249.0228729,235.8669434,242.4449005,14649
9/6/2017,212.8040771,231.5912628,240.0956268,229.2889862,240.0956268,14947
9/7/2017,210.9476013,229.5708923,234.9272308,226.5168457,234.9272308,9942
9/8/2017,219.9277954,239.3438721,247.9891815,222.1471863,228.4432373,28477
9/11/2017,226.5765533,246.5796204,250.9022827,235.256134,235.256134,10263
9/12/2017,226.9651184,247.0024872,250.7143402,244.2773438,247.1434479,9664
9/13/2017,219.0643005,238.4041595,248.553009,235.256134,247.8952179,10740
9/14/2017,218.589386,237.8873138,246.1097717,236.9006195,239.6257782,3451
9/15/2017,221.0503082,240.5654907,243.8074799,237.7463684,238.0752563,4865
9/18/2017,223.8997955,243.6665344,246.2037354,241.7871094,244.3243256,1946
9/19/2017,226.8355865,246.8615417,251.8419952,238.0282745,242.4449005,8411
9/20/2017,225.4540253,245.3580017,248.9758759,244.7941742,246.2507324,2708
9/21/2017,221.3525085,240.8943787,248.0361786,240.5654907,245.3110199,9876
9/22/2017,218.3735046,237.6523895,242.3979187,235.0212097,239.7197571,12087
9/25/2017,209.350174,227.832428,238.4981232,221.8652802,238.4981232,14039
9/26/2017,207.2346802,225.5301514,233.047821,216.6029053,227.832428,8941
9/27/2017,202.1833191,220.0328522,232.5779572,218.0124664,223.791687,10775
